epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,520.968,1.26131,1.18518,1.52401,0.42726,0.53333,0.4408,0.1969,1.97957,1.86873,2.66489,0.00093575,0.00093575,0.00093575
45,530.622,1.33387,1.18931,1.56731,0.46499,0.52205,0.36295,0.16037,2.0394,2.14964,2.61399,0.000911,0.000911,0.000911
46,539.925,1.32198,1.16672,1.67141,0.65894,0.46667,0.52626,0.23747,1.80303,1.71989,2.41629,0.00088625,0.00088625,0.00088625
47,553.641,1.23015,1.1516,1.48935,0.66472,0.53333,0.57404,0.31395,1.53456,1.56992,2.07125,0.0008615,0.0008615,0.0008615
48,563.522,1.20173,1.17819,1.55261,0.81674,0.59473,0.67074,0.24236,1.76999,1.63966,2.17533,0.00083675,0.00083675,0.00083675
49,572.579,1.2902,1.33655,1.64763,0.59934,0.4,0.4317,0.20191,1.90786,1.92498,2.446,0.000812,0.000812,0.000812
50,586.593,1.19041,1.11856,1.5383,0.54515,0.53333,0.54187,0.26142,1.83115,1.65829,2.38441,0.00078725,0.00078725,0.00078725
51,596.074,1.1411,1.05423,1.59187,0.61468,0.6,0.54312,0.26413,1.93108,1.53482,2.51433,0.0007625,0.0007625,0.0007625
52,605.19,1.24557,1.10275,1.49534,0.43692,0.6,0.441,0.18646,2.07127,1.72919,2.61088,0.00073775,0.00073775,0.00073775
53,614.484,1.1182,1.07547,1.45149,0.55323,0.66074,0.50525,0.22357,2.04305,1.6522,2.63531,0.000713,0.000713,0.000713
54,623.537,1.06324,0.97862,1.42629,0.64298,0.60035,0.60337,0.2663,1.96056,1.65465,2.41243,0.00068825,0.00068825,0.00068825
55,637.7,1.21741,1.34205,1.61408,0.67378,0.6,0.66516,0.3401,1.78319,1.53226,2.19476,0.0006635,0.0006635,0.0006635
56,653.442,1.13754,0.95448,1.45201,0.57977,0.73593,0.65407,0.32968,1.71361,1.62176,2.17089,0.00063875,0.00063875,0.00063875
57,668.341,1.05132,0.95818,1.40082,0.7105,0.53333,0.51273,0.26191,1.91228,1.64698,2.45442,0.000614,0.000614,0.000614
58,682.836,0.97529,0.94079,1.37111,0.52028,0.5793,0.48274,0.27492,1.72734,1.63238,2.18071,0.00058925,0.00058925,0.00058925
59,697.596,1.06357,0.96936,1.44778,0.6489,0.6,0.64477,0.36475,1.53194,1.56312,2.04002,0.0005645,0.0005645,0.0005645
60,707.006,1.1057,1.01843,1.48889,0.81035,0.53333,0.64699,0.34758,1.59648,1.43738,2.14439,0.00053975,0.00053975,0.00053975
61,716.584,1.04605,0.99496,1.40683,0.44977,0.66667,0.53428,0.22603,1.93524,1.71374,2.37939,0.000515,0.000515,0.000515
62,726.89,0.96332,0.96746,1.34566,0.45085,0.60217,0.53063,0.23488,1.95764,1.77201,2.41943,0.00049025,0.00049025,0.00049025
63,736.042,1.07322,0.97471,1.39807,0.50879,0.53333,0.4863,0.24991,1.91806,1.85305,2.41642,0.0004655,0.0004655,0.0004655
64,744.644,1.05937,0.98225,1.42014,0.67387,0.6,0.55661,0.23514,2.02185,1.90587,2.48242,0.00044075,0.00044075,0.00044075
65,753.915,0.96778,0.85283,1.30268,0.59487,0.6,0.56113,0.26749,2.15359,1.6756,2.71156,0.000416,0.000416,0.000416
66,762.753,1.02158,0.93545,1.40323,0.49867,0.66667,0.51091,0.20472,2.09654,1.58341,2.5989,0.00039125,0.00039125,0.00039125
67,771.615,0.95297,0.85754,1.34342,0.44516,0.6,0.38835,0.17121,2.24068,1.66012,2.86702,0.0003665,0.0003665,0.0003665
68,780.691,0.96581,0.84625,1.32417,0.35665,0.66667,0.35391,0.15981,2.26756,1.76798,3.01589,0.00034175,0.00034175,0.00034175
69,795.479,0.9133,0.80843,1.32202,0.45174,0.54998,0.46485,0.21471,2.02641,1.74445,2.50723,0.000317,0.000317,0.000317
70,809.887,0.87959,0.82353,1.33497,0.71978,0.51502,0.62454,0.26796,1.76865,1.73588,2.22364,0.00029225,0.00029225,0.00029225
71,825.032,0.8083,0.79912,1.2827,0.81079,0.6,0.70182,0.34672,1.5914,1.58968,2.09409,0.0002675,0.0002675,0.0002675
72,838.637,0.76645,0.68731,1.26403,0.57525,0.66667,0.65403,0.33588,1.71021,1.67965,2.20374,0.00024275,0.00024275,0.00024275
73,848.796,0.78507,0.67041,1.30783,0.51706,0.66667,0.63094,0.32477,1.88111,1.60331,2.51879,0.000218,0.000218,0.000218
74,863.143,0.85805,0.7846,1.37557,0.7568,0.46667,0.64671,0.35162,1.86935,1.41475,2.55383,0.00019325,0.00019325,0.00019325
75,877.461,0.73378,0.64995,1.22957,0.37433,0.86667,0.54995,0.29238,1.92081,1.4401,2.55371,0.0001685,0.0001685,0.0001685
76,891.496,0.73951,0.64603,1.24179,0.62447,0.46667,0.53214,0.29363,1.95718,1.4634,2.59998,0.00014375,0.00014375,0.00014375
77,902.33,0.78346,0.91364,1.30466,0.85555,0.39553,0.53521,0.28729,1.95194,1.55989,2.6103,0.000119,0.000119,0.000119
78,916.143,0.72238,0.60134,1.235,0.85646,0.39809,0.53302,0.29584,1.87963,1.60187,2.59095,9.425e-05,9.425e-05,9.425e-05
79,925.947,0.73856,0.86038,1.26539,0.463,0.66667,0.56459,0.29668,1.81831,1.41733,2.56941,6.95e-05,6.95e-05,6.95e-05
80,940.646,0.66708,0.57318,1.18559,0.49615,0.66667,0.57846,0.30605,1.73513,1.40432,2.43056,4.475e-05,4.475e-05,4.475e-05
